trailID,trailName,trailState,trailRegion
107,Princess Arch Trail,Kentucky,"Pine Ridge, Kentucky"
108,Dog Slaughter Falls Trail,Kentucky,Cumberland Falls State Park
109,Van Hook Falls Cane Creek Valley,Kentucky,Daniel Boone National Forest
110,Indian Staircase and Adena Arch Loop,Kentucky,Daniel Boone National Forest
111,Siltstone Trail,Kentucky,Tom Wallace Recreation Area
112,Pilot Knob and Sage Point Loop,Kentucky,Pilot Knob State Nature Preserve
113,"Palmetto, Bayou Coquille and March Overlook",Louisiana,Jean Lafitte National Historical Park and Preserve
114,Cane Bayou,Louisiana,Fontainebleau State Park
115,Boy Scout Road,Louisiana,Big Branch Marsh National Wildlift Refuge
116,Tammany Trace Trail,Louisiana,"Covington, Louisiana"
117,Moonseed Loop,Louisiana,Acadiana Park Nature Station
118,Bogue Chitto State Park Gorge Run Trail,Louisiana,Bogue Chitto State Park
119,Comite Park Trail,Louisiana,Comite River Park
120,Lake Chicot Loop Trail,Louisiana,Chicot State Park
121,Lakeshore Mountain Bike Trail,Louisiana,"Shreveport, Louisiana"
122,Tunica Hills C Trail,Louisiana,Tunica Hills State Wildlift Management Area
123,Ocean Path Trail: Thunder Hole and Monument Cove,Maine,Acadia National Park
124,Thunder Hole to Sand Beach,Maine,Acadia National Park
125,Cadillac Summit Loop Trail,Maine,Acadia National Park
126,Ship Harbor Trail,Maine,Acadia National Park
127,Cliff Trail,Maine,Town of Harpswell
128,Cadillac North Ridge Trail,Maine,Acadia National Park
129,Jordan Pond Full Loop Trail,Maine,Acadia National Park
130,Ocean Path and Gorham Mountain Loop Trail,Maine,Acadia National Park
131,Cadillac Mountain South Ridge Trail Loop,Maine,Acadia National Park
132,Gorham Mountain,Maine,Acadia National Park
133,The Beehive Loop Trail,Maine,Acadia National Park
134,"Precipice, Orange and Black and Champlain North Ridge Trail Loop",Maine,Acadia National Park
135,Tumbledown Mountain Trail,Maine,Four Ponds Public Reserved Land
136,Acadia Mountain and St. Sauveur Mountain Trail Loop,Maine,Acadia National Park
137,Old Speck Mountain Trail,Maine,Grafton Notch State Park
138,Swallow Falls Canyon Trail,Maryland,Swallow Falls StatePark
139,Cascade Falls Trail,Maryland,Patapsco Valley State Park
140,"Wincopin Gree, Red, and Yellow",Maryland,Savage Park
141,Falling Branch Trail to Kilgore Falls,Maryland,Rocks State Park
142,Bacon Ridge Trail,Maryland,Bacon Ridge Natural Area
143,Annapolis Rock via Appalachian Trail,Maryland,South Mountain State Park
144,Cascade Falls Loop Trail,Maryland,Patapsco Valley State Park
145,Billy Goat Trail and Chesapeake and Ohio Canal Trail Loop,Maryland,Chesapeake and Ohio Canal National Historical Park
146,Sugarload Mountain and Northeat,Maryland,Sugarloaf Mountain Natural Area
147,Great Falls Overlook Loop,Maryland,Chesapeake and Ohio Canal National Historical Park
148,Appalachian Trail: Wolfsville Road to Raven Rock 10H,Maryland,South Mountain State Park
149,Appalachian Trail: Dahlgren Camp to Bea,Maryland,South Mountain State Park
150,Catoctin Trail,Maryland,Cunningham Falls State Park
151,Long Pond Trail,Maryland,Green Ridge State Forest
152,Catoctin National Recreation Trail,Maryland,Gambrill State Park
153,Bash Bish Falls Trail,Massachusetts,Bash Bish Falls State Park
154,Great Blue Hill via Skyline Trail,Massachusetts,Blue Hills Reservation
155,Mount Watatic and Nutting Hill via Wapack Trail,Massachusetts,Watatic Mountain State Wildlife Area
156,Skyline Trail Loop,Massachusetts,Middlesex Fells Reservation
157,Mount Frissell and Brace Mountain Loop Trail,Massachusetts,Mount Washington State Forest
158,Mount Norwottuck,Massachusetts,Mount Holyoke Range State Park
159,Mount Greylock via Bellows Pipe and Thunderbolt Trail,Massachusetts,Mount Greylock State Reservation
160,Blue Hills Skyline Trail,Massachusetts,Blue Hills Reservation
161,Race Brook Falls and Mount Everett,Massachusetts,Mount Everett State Reservation
162,Metacomet-Monadnock Trail--Section 7,Massachusetts,Mount Holyoke Range State Park
163,"Mount Williams, Mount Fitch, Mount Greylock, and Stony Ledge",Massachusetts,Mount Greylock State Reservation
164,Miners Falls Trail,Michigan,Pictured Rocks National Lakeshore
165,Maybury Hiking Trail Loop,Michigan,Maybury State Park
166,Seidman Park Blue and Red Loop Trail,Michigan,Seidman Park
167,Lakeshore Park (Novi Tree Farm) Trail,Michigan,Lakeshore Park
168,Miners Castle Trail,Michigan,Pictured Rocks National Lakeshore
169,Mosquito Falls and Chapel Falls via Chapel Loop,Michigan,Pictured Rocks National Lakeshore
170,The Manistee River Loop Trail,Michigan,Manistee National Forest
171,Empire Bluff Trail,Michigan,Sleeping Bear Dunes National Lakeshore
172,Crooked Lake Trail,Michigan,Pinckney Recreation Area
173,Potawatomi Trail,Michigan,Pinckney Recreation Area
174,Escarpment Trail,Michigan,Porcupine Mountains Wilderness State Park
175,Dune Climb Trail,Michigan,Sleeping Bear Dune National Lakeshore
176,North Country Trail,Michigan,Manistee National Forest
177,Highland A-B-C-D MTB Loop,Michigan,Highland State Recreation Area
178,Grand Island Loop,Michigan,Hiawatha National Forest
179,Fifth Falls and Superior Hiking Trail Loop,Minnesota,Gooseberry Falls State Park
180,Jensen Lake Trail,Minnesota,Lebanon Hills Regional Park
181,Silver Creek Trail,Minnesota,Jay Cooke State Park
182,Pike Island Loop,Minnesota,Fort Snelling State Park
183,Saint Croix River Trail and Railroad Loop,Minnesota,Interstate State Park
184,Superior Hiking Trail: Bean and Bear Lakes,Minnesota,"Silver Bay, Minnesota"
185,Superior Hiking Trail: Split Rock Ridge,Minnesota,Split Rock Lighthouse State Park
186,Lebanon Hills Loop,Minnesota,Lebanon Hills Regional Park
187,Oberg Mountain Loop via Superior Trail,Minnesota,Superior National Forest
188,Tettegouche State Park,Minnesota,Tettegouche State Park
189,"Superior Hiking Trail: Oberg Mountain, Moose Mountain, and Lutsen",Minnesota,Superior National Forest
190,Greenstone Ridge Trail: Windigo to Harbor,Minnesota,Isle Royale National Park
191,Caribou Rock Trail,Minnesota,Superior National Forest
192,Angleworm Lake Trail,Minnesota,Superior National Forest
193,Sioux Hustler Trail,Minnesota,Superior National Forest
194,Tuxachanie Trail,Mississippi,De Soto National Forest
195,Fontainebleau Nature Trail,Mississippi,Mississippi Sandhill Crane National Wildlife Refuge
196,Gulf Islands National Seashore Trail,Mississippi,Gulf Islands National Seashore
197,Dunns Falls Trail,Mississippi,"Enterprise, Mississippi"
198,Bethel Mountain Bike Trail,Mississippi,De Soto National Forest
199,Bear Creek Outcropping Trail,Mississippi,Tishomingo State Park
200,Richardson Creek Trail,Mississippi,Homochitto National Forest
201,CCC Camp Trail Loop,Mississippi,Tishomingo State Park
202,Red Bluff,Mississippi,"Foxworth, Mississippi"
203,Bonita Lakes Trail,Mississippi,"Meridian, Mississippi"
204,White Tail Trail,Missouri,Parkville Nature Sanctuary
205,Sandstone Canyon Western Loop,Missouri,Don Robinson State Park
206,Elephant Rocks State Park,Missouri,Elephant Rocks State Park
207,Blue River Parkway and Minor Park Trail,Missouri,Minor Park
208,Sabbaday Falls,New Hampshire,White Mountain National Forest
209,Franconia Falls Trail,New Hampshire,Pemigewasset Wilderness
210,Crystal Cascades,New Hampshire,White Mountain National Forest
211,Mount Willard Trail,New Hampshire,Crawford Notch State Park
212,Mount Manadnock via White Dot and White Cross Trails,New Hampshire,Monadnock State Park
213,Mount Major and Brook Trail Loop,New Hampshire,Major Mountain State Forest
214,Mount Tecumseh Trail,New Hampshire,White Mountain National Forest
215,Lonesome Lake Trail,New Hampshire,Franconia Notchia State Park
216,Mount Lafayette and Franconia Ridge Trail Loop,New Hampshire,White Mountain National Forest
217,Welch and Dickey Loop Trail,New Hampshire,White Mountain National Forest
218,Mount Washington via Tuckerman Ravine and Lion Head Trail,New Hampshire,White Mountain National Forest
219,Mount Moosilauke and South Peak Loop,New Hampshire,White Mountain National Forest
220,Arethusa Falls and Frankenstein Cliff Trail,New Hampshire,Crawford Notch State Park
221,"Hemlock Falls Trail via Lenape (Yellow) Trail, Rahway Trail (White) and River Trail",New Jersey,South Mountain Reservation
222,Cheesequake Green Trail,New Jersey,Cheesequake State Park
223,"Openwood, River, Lenape, and Overlook Trails Loop",New Jersey,South Mountain Reservation
224,Manasquan Reservoir Loop,New Jersey,Manasquan Reservoir County Park
225,Maurice River Bluffs Trail,New Jersey,Maurice River Bluffs Preserve
226,Mount Tammany: Red Dot and Blue Dot Loop Trail,New Jersey,Worthington State Forest
227,Stairway to Heaven Trail,New Jersey,Wawayanda State Park
228,Stairway to Heaven and Pochuck Valley via Appalachian Trail,New Jersey,Maple Grange Community Park
229,Long Path and Shore Loop,New Jersey,Palisades Interstate Park
230,Ramapo Mountain Yellow and Cannonball Trail,New Jersey,Ramapo Mountain State Forest
231,White Shore and Long Path Loop Trail,New Jersey,Palisades Interstate Park
232,Buttermilk Falls and Crater Lake Loop Trail,New Jersey,Delaware Water Gap National Recreation Area
233,Mount Tammany via Blue Dot Trail,New Jersey,Worthington State Forest
234,Mount Tammany via Red Dot Trail,New Jersey,Worthington State Forest
235,Sunfish Pond via Appalachian and Dunnfield Creek Trail Loop,New Jersey,Worthington State Forest
236,The Volcanoes Trail,New Mexico,Petroglyph National Monument
237,Travertine Falls,New Mexico,Sandia Mountain Wilderness
238,Alcove House Trail,New Mexico,Bandelier National Monument
239,Soledad Canyon Loop,New Mexico,Organ Mountain - Desert Peaks National Monument
240,Bisti Badlands Trail,New Mexico,Bisti/De-Na-Zin Wilderness
241,Nambe Lake Trail,New Mexico,Santa Fe National Forest
242,Williams Lake Trail,New Mexico,Carson National Forest
243,Pine Tree Trail,New Mexico,Organ Mountain - Desert Peaks National Monument
244,Dripping Springs Trail,New Mexico,Organ Mountain - Desert Peaks National Monument
245,Osha Trail,New Mexico,Lincoln National Forest
246,Wheeler Peak via Williams Lake Trail,New Mexico,Carson National Forest
247,La Luz Trail #137,New Mexico,Sandia Mountain Wilderness
248,Pino Trail,New Mexico,Elena Gallegos Picnic Area/Albert G. Simms Park
249,Domingo Baca Trail #230,New Mexico,Elena Gallegos Picnic Area/Albert G. Simms Park
250,Deception Peak and Lake Peak,New Mexico,Santa Fe National Forest
251,Blydenburgh County Park Stump Pond Loop,New York,Blydenburgh Park
252,Taughannock Falls via Gorge Trail,New York,Taughannock Falls State Park
253,Lake Minnewaska Loop Trail,New York,Minnewaska State Park Preserve
254,Green Lake to Round Lake Trail,New York,Green Lake State Park
255,Shelving Rock Mountain Trail,New York,Lake George Wild Forest
256,Cascade Mountain and Porter Mountain via Cascade Mountain Trail,New York,High Peaks Wilderness
257,Bear Mountain,New York,Bear Mountain State Park
258,Boicourt Overlook Trail,North Dakota,Theodore Roosevelt National Park
259,Coal Vein Trail,North Dakota,Theodore Roosevelt National Park
260,Caprock Coulee Loop,North Dakota,Theodore Roosevelt National Park
261,Petrified Forest Trail,North Dakota,Theodore Roosevelt National Park
262,Lower Paddock Creek Trail,North Dakota,Theodore Roosevelt National Park
263,Buck Hill Trail,North Dakota,Theodore Roosevelt National Park
264,Harmon Lake Trail,North Dakota,"Mandan, North Dakota"
265,Maah Daah Hey Trail,North Dakota,Theodore Roosevelt National Park
266,Achenbach and North Achenbach Trail Loop,North Dakota,Theodore Roosevelt National Park
267,Buckhorn Trail,North Dakota,Theodore Roosevelt National Park
268,Maah Daah Hey II Trail,North Dakota,"Amidon, North Dakota"
269,Achenbach/Bison Trail Loop,North Dakota,Theodore Roosevelt National Park
270,Plateau Trail,Ohio,Cuyahoga Valley National Park
271,Cedar Falls Trail,Ohio,Hocking Hills State Park
272,Old Man Cave,Ohio,Hocking Hills State Park
273,Buckeye Trail,Ohio,Hocking Hills State Park
274,Queer Creek via Buckeye Trail,Ohio,Hocking Hills State Park
275,Ledges Trail,Ohio,Cuyahoga Valley National Park
276,Brandywine Gorge Trail,Ohio,Cuyahoga Valley National Park
277,Standford House to Brandywine Falls Trail,Ohio,Cuyahoga Valley National Park
278,Blue Hen Falls Trail,Ohio,Cuyahoga Valley National Park
279,Rome Point Trail,Rhode Island,John H. Chafee Nature Preserve
280,Stepstone Falls via Ben Utter Trail,Rhode Island,Arcadia Management Area
281,Fisherville Brook Wildlife Refuge Trail,Rhode Island,"Exeter, Rhode Island"
282,Lincoln Wood Trail,Rhode Island,Lincoln Woods State Park
283,Cliff Walk,Rhode Island,"Newport, Rhode Island"
284,Long Pond Woods Trail,Rhode Island,Rockville Management and Public Fishing Area
285,World War II Memorial Loop,Rhode Island,Wolf Hill Forest Preserve
286,George B. Parker Woodland Trail,Rhode Island,Audubon Society George B Parker Woodland
287,Cumberland Monastery Trail,Rhode Island,Cumberland Monastery
288,Oconee Station & Station Cove Falls Trail,South Carolina,Oconee State Park
289,Riley Moore Falls,South Carolina,Sumter National Forest
290,Boardwalk Loop Trail,South Carolina,Congaree National Park
291,Wildcat Wayside Nature Trail,South Carolina,"Cleveland, South Carolina"
292,Peachtree Rock,South Carolina,"Lexington, South Carolina"
293,Rainbow Falls Trail,South Carolina,Jones Gap State Park
294,Yellow Branch Falls Trail,South Carolina,Stumphouse Mountain Bike Park
295,Raven Cliff Falls Trail,South Carolina,Caesars Head State Park
296,Sulphur Springs Trail,South Carolina,Paris Mountain State Park
297,Raven Rock Loop Trail,South Carolina,Keowee-Toxaway State Park
298,Table Rock Trail,South Carolina,Table Rock State Park
299,Raven Cliff Falls and Dismal Trail Loop,South Carolina,Caesars Head State Park
300,Falls Creek Waterfall Trail,South Carolina,"Cleveland, South Carolina"
301,Pinnacle Mountain Trail,South Carolina,Table Rock State Park
302,Table Rock Ridge Trail via Pinnacle Mountain Trail,South Carolina,Table Rock State Park
303,The Door Trail,South Dakota,Badlands National Park
304,Sylvan Lake Shore Trail,South Dakota,Custer State Park
305,Mount Rushmore and Presidential Trail Loop,South Dakota,Mount Rushmore National Memorial
306,Roughlock Falls Trail,South Dakota,Black Hills National Forest
307,Medicine Root Loop Trail,South Dakota,Badlands National Park
308,Black Elk Peak South Dakota Highpoint Trail,South Dakota,Black Elk Wilderness
309,Notch Trail,South Dakota,Badlands National Park
310,Cathedral Spires Trail,South Dakota,Custer State Park
311,Little Devils Tower Spur Trail,South Dakota,Custer State Park
312,Lost Cabin Trail,South Dakota,Black Hills National Forest
313,Saint Elmo Peak Trail,South Dakota,Black Hills National Forest
314,Hippie Hole: South,South Dakota,Black Hills National Forest
315,Laurel Falls Trail,Tennessee,Great Smoky Mountains National Park
316,Burgess Falls Trail,Tennessee,Burgess Falls State Park
317,Stone Door Trail,Tennessee,South Cumberland State Park
318,Gatlinburg Trail,Tennessee,Great Smoky Mountains National Park
319,Twin Falls and Down River Trail,Tennessee,Rock Island State Park
320,Grotto Falls Trail,Tennessee,Great Smoky Mountains National Park
321,Peregrine Peak via Alum Cave Bluffs Trail,Tennessee,Great Smoky Mountains National Park
322,Charlies Bunion via Appalachian Trail,Tennessee,Great Smoky Mountains National Park
323,Abrams Falls Trail,Tennessee,Great Smoky Mountains National Park
324,Appalachian Trail to Icewater Spring Shelter,Tennessee,Great Smoky Mountains National Park
325,Alum Cave Trail to Mount LeConte,Tennessee,Great Smoky Mountains National Park
326,Chimney Tops Trail,Tennessee,Great Smoky Mountains National Park
327,Rainbow Falls Trail,Tennessee,Great Smoky Mountains National Park
328,Virgin Falls Trail,Tennessee,Virgin Falls State Natural Area
329,Myrtle Point and Mount LeConte via Alum Cave Trail,Tennessee,Great Smoky Mountains National Park
330,Twin Falls and Sculpture Falls via Barton Creek Greenbelt Trail,Texas,Barton Creek Greenbelt
331,Lady Bird Lake Trail,Texas,Butler Park
332,Cedar Brake Trail via Cattail Pond Trail,Texas,Cedar Ridge Preserve
333,Arbor Hills Nature Preserve Trail,Texas,Arbor Hills Nature Preserve
334,Santa Elena Canyon Trail,Texas,Big Bend National Park
335,Riverplace Nature Trail,Texas,Nature Preserve at River Place
336,Lost Mine Trail,Texas,Big Bend National Park
337,The Lighthouse Trail,Texas,Palo Duro Canyon State Park
338,The Window Trail,Texas,Big Bend National Park
339,Barton Creek Greenbelt Trail,Texas,Barton Creek Greenbelt
340,Guadalupe Peak Texas Highpoint Trail,Texas,Guadalupe Mountains National Park
341,Emory Peak via South Rim Trail and Boot Springs Trail,Texas,Big Bend National Park
342,Emory Peak Trail,Texas,Big Bend National Park
343,North Mountain Franklin Trail,Texas,Franklin Mountains State Park
344,Lone Star Hiking Trail and Little Lake Creek Trail,Texas,Sam Houston National Forest
345,The Zion Narrows Riverside Walk,Utah,Zion National Park
346,Donut Falls Trail,Utah,Uinta-Wasatch-Cache National Forest
347,Corona and Bowtie Arch Trail,Utah,"Moab, Utah"
348,Gloria Falls,Utah,Twin Peaks Wilderness
349,Cecret Lake Trail,Utah,Uinta-Wasatch-Cache National Forest
350,Lake Blanche Trail,Utah,Twin Peaks Wilderness
351,Thundering Brook Falls,Vermont,"Killington, Vermont"
352,Red Rocks Park Loop Trail,Vermont,Red Rocks Park
353,Colchester Pond,Vermont,"Colchester, Vermont"
354,Lye Brook Falls Trail,Vermont,Green Mountain National Forest
355,Franklin Falls Trail 1036,Washington,Mount Baker Snoqualmie National Forest
356,Marymere Falls Trail,Washington,Olympic National Park
357,Sol Duc Falls Nature Trail,Washington,Olympic National Park
358,Myrtle Falls Viewpoint via Skyline Trail,Washington,Mount Rainier National Park
359,Hoh Rain Forest Hall of Moss,Washington,Olympic National Park
360,Lake 22 Trail,Washington,Mount Baker Snoqualmie National Forest
361,Snow Lake Trail,Washington,Mount Baker Snoqualmie National Forest
362,Skyline Trail,Washington,Mount Rainier National Park
363,Wallace Falls Trail,Washington,Wallace Falls State Park
364,Twin Falls Trail,Washington,Olallie State Park
365,Colchuck Lake via Stuart Lake Trail,Washington,Alpine Lake Wilderness
366,Mount Si Trail,Washington,Mount si Natural Resources Conservation Area
367,Lake Serene Trail and Bridal Veil Falls,Washington,Mount Baker Snoqualmie National Forest
368,Maple Pass Trail,Washington,Okanogan-Wenatchee National Forest
369,Mount Pilchuck Trail,Washington,Mount Pilchuck State Park
370,Endless Wall Trail,West Virginia,New River Gorge National River
371,Blackwater Falls,West Virginia,Blackwater Falls State Park
372,Lindy Point Overlook,West Virginia,Blackwater Falls State Park
373,Long Point Trail,West Virginia,Summersville Lake State Wildlife Area
374,Whispering Spruce Trail and Spruce Knob,West Virginia,Spruce Knob-Seneca Rocks National Recreation Area
375,Loudoun Heights Trail to Split Rock,West Virginia,Harpers Ferry National Historical Park
376,Seneca Rocks Trail,West Virginia,Spruce Knob-Seneca Rocks National Recreation Area
377,Big Schloss via Wolf Gap Trail,West Virginia,W
378,Long Point Trail,West Virginia,New River Gorge National River
379,Bear Rocks/Lions HEad Loop,West Virginia,Dolly Sods Wilderness
380,Maryland Heights Loop,West Virginia,Harpers Ferry National Historical Park
381,Glade Creek: New River to Pinch Creek,West Virginia,New River Gorge National River
382,Mallard Lake Trail,Wisconsin,Whitnall Park
383,Meyers Beach Sea Cave Trail,Wisconsin,Apostle Islands National Lakeshore
384,Willow Falls and Nelson Farm Trail Loop,Wisconsin,Willow River State Park
385,Hidden Lakes,Wisconsin,Nicolet National Forest
386,Ice Age Trail: St. Croix Falls to Trade River,Wisconsin,"Dresser, Wisconsin"
387,Lakeshore Trail Campsite via Meyers Beach,Wisconsin,Apostle Islands National Lakeshore
388,Taggart Lake Loop,Wyoming,Grand Teton National Park
389,Grand Prismatic Hot Spring,Wyoming,Yellowstone National Park
390,Upper Geyser Basin and Old Faithful Observation Point Loop,Wyoming,Yellowstone National Park
391,Hidden Falls Trail,Wyoming,Grand Teton National Park
392,West Thumb Geyser Basin Trail,Wyoming,Yellowstone National Park
393,Cascade Canyon Trail,Wyoming,Grand Teton National Park
394,Jenny Lake Trail,Wyoming,Grand Teton National Park
395,"Mystic Falls, Fairy Creek and Little Firehole Loop",Wyoming,Yellowstone National Park
396,Phelps Lake Trail,Wyoming,Grand Teton National Park
397,Bradley Lake Trail,Wyoming,Grand Teton National Park
398,Delta Lake via Lupine Meadows Access,Wyoming,Grand Teton National Park
399,Surprise and Amphitheater Lakes Trail,Wyoming,Grand Teton National Park
400,Table Mountain Trail,Wyoming,Jedediah Smith Wilderness
401,Lake Solitude Trail,Wyoming,Grand Teton National Park
402,Darby Canyon Wind Cave Trail,Wyoming,Caribou-Targhee National Forest
